,polarity_oplexicon,polarity_sentilex,subject,journal,sent_none,sent_neg,sent_pos,sent_neut,opl_none,opl_neg,opl_pos,opl_neut,fileid
0,-13,-14,prisao-lula,estadao,95,14,0,0,85,15,2,7,"acervo.estadao.com.br___noticias_acervo,quatro-ex-presidentes-foram-presos-antes-de-lula,13267,0.htm.txt"
1,-7,0,afastamento-aecio,oglobo,634,10,10,4,535,28,21,74,acervo.oglobo.globo.com___charges-e-humor_da-estreia-como-aecinho-lava-jato-tucano-retratado-em-charges-21552392.txt
2,-17,-6,afastamento-aecio,oglobo,737,14,8,5,610,44,27,83,acervo.oglobo.globo.com___em-destaque_aecio-neves-de-assessor-de-tancredo-governador-senador-ate-lava-jato-21359530.txt
3,-3,1,soltura-lula,oglobo,600,14,15,5,476,37,34,87,blogs.oglobo.globo.com___bernardo-mello-franco_post_collor-diz-que-bolsonaro-corre-risco-de-impeachment.html.txt
4,1,0,prisao-lula,oglobo,43,0,0,1,35,1,2,6,blogs.oglobo.globo.com___bernardo-mello-franco_post_da-cadeia-lula-vai-comentar-copa-para-tv-de-sindicato.html.txt
5,-1,-3,soltura-lula,oglobo,35,3,0,1,26,5,4,4,blogs.oglobo.globo.com___lauro-jardim_post_por-que-bolsonaro-diz-que-lula-e-muito-burro.html.txt
6,4,1,soltura-lula,oglobo,85,2,3,1,67,7,11,6,blogs.oglobo.globo.com___merval-pereira_post_condenacao-de-lula-continua-igual.html.txt
7,5,9,impeachment-dilma,elpais,250,1,10,3,213,13,18,20,brasil.elpais.com___brasil_2015_12_02_politica_1449093380_156718.html.txt
8,12,-8,impeachment-dilma,elpais,374,16,8,6,291,19,31,63,brasil.elpais.com___brasil_2015_12_08_politica_1449576293_761185.html.txt
9,-3,-17,impeachment-dilma,elpais,424,25,8,1,337,33,30,58,brasil.elpais.com___brasil_2015_12_16_opinion_1450265966_724667.html.txt
10,-3,-6,impeachment-dilma,elpais,420,14,8,7,329,30,27,63,brasil.elpais.com___brasil_2016_02_02_politica_1454449234_500788.html.txt
11,5,-11,impeachment-dilma,elpais,555,16,5,6,457,32,37,56,brasil.elpais.com___brasil_2016_03_04_politica_1457115590_947838.html.txt
12,4,4,impeachment-dilma,elpais,357,11,15,3,275,33,37,41,brasil.elpais.com___brasil_2016_03_10_politica_1457613322_994449.html.txt
13,8,-10,impeachment-dilma,elpais,723,27,17,8,606,39,47,83,brasil.elpais.com___brasil_2016_03_13_politica_1457906776_440577.html.txt
14,26,6,impeachment-dilma,elpais,597,7,13,2,501,18,44,56,brasil.elpais.com___brasil_2016_03_17_politica_1458179601_208300.html.txt
15,3,0,impeachment-dilma,elpais,348,8,8,4,264,23,26,55,brasil.elpais.com___brasil_2016_03_18_politica_1458258396_570381.html.txt
16,-2,-1,impeachment-dilma,elpais,508,18,17,7,442,24,22,62,brasil.elpais.com___brasil_2016_03_22_politica_1458666904_690917.html.txt
17,4,2,impeachment-dilma,elpais,442,11,13,2,351,25,29,63,brasil.elpais.com___brasil_2016_03_28_politica_1459189645_411464.html.txt
18,14,-17,impeachment-dilma,elpais,559,22,5,8,442,34,48,70,brasil.elpais.com___brasil_2016_03_30_politica_1459293666_164652.html.txt
19,-3,-1,impeachment-dilma,elpais,432,9,8,7,355,23,20,58,brasil.elpais.com___brasil_2016_03_31_politica_1459383585_301639.html.txt
20,20,-10,impeachment-dilma,elpais,466,19,9,3,376,20,40,61,brasil.elpais.com___brasil_2016_04_01_politica_1459541270_747797.html.txt
21,-16,-3,impeachment-dilma,elpais,518,14,11,2,421,42,26,56,brasil.elpais.com___brasil_2016_04_05_politica_1459812255_649619.html.txt
22,14,6,impeachment-dilma,elpais,423,10,16,6,343,24,38,50,brasil.elpais.com___brasil_2016_04_05_politica_1459872017_590938.html.txt
23,11,1,impeachment-dilma,elpais,575,11,12,4,474,28,39,61,brasil.elpais.com___brasil_2016_04_06_politica_1459978876_935564.html.txt
24,4,-1,impeachment-dilma,elpais,482,6,5,7,384,29,33,54,brasil.elpais.com___brasil_2016_04_08_politica_1460140995_879932.html.txt
25,-4,-1,impeachment-dilma,elpais,418,9,8,7,321,30,26,65,brasil.elpais.com___brasil_2016_04_12_politica_1460430132_131176.html.txt
26,23,-9,impeachment-dilma,elpais,370,31,22,11,312,25,48,49,brasil.elpais.com___brasil_2016_04_12_politica_1460484960_263641.html.txt
27,7,7,impeachment-dilma,elpais,383,4,11,3,309,18,25,49,brasil.elpais.com___brasil_2016_04_15_politica_1460687713_055409.html.txt
28,22,6,impeachment-dilma,elpais,584,13,19,12,451,27,49,101,brasil.elpais.com___brasil_2016_04_15_politica_1460734774_530766.html.txt
29,8,18,impeachment-dilma,elpais,2244,30,48,12,2059,61,69,145,brasil.elpais.com___brasil_2016_04_17_media_1460895657_868124.html.txt
30,-8,-10,impeachment-dilma,elpais,713,22,12,0,596,41,33,77,brasil.elpais.com___brasil_2016_04_17_politica_1460924183_167143.html.txt
31,1,5,impeachment-dilma,elpais,271,9,14,4,212,23,24,39,brasil.elpais.com___brasil_2016_04_18_politica_1460943585_924610.html.txt
32,-5,-15,impeachment-dilma,elpais,905,30,15,6,733,51,46,126,brasil.elpais.com___brasil_2016_04_19_politica_1461019293_721277.html.txt
33,3,0,impeachment-dilma,elpais,351,12,12,1,286,20,23,47,brasil.elpais.com___brasil_2016_04_20_politica_1461184678_726086.html.txt
34,1,-9,impeachment-dilma,elpais,552,16,7,3,457,31,32,58,brasil.elpais.com___brasil_2016_05_06_politica_1462487188_422479.html.txt
35,11,5,impeachment-dilma,elpais,361,18,23,4,297,25,36,48,brasil.elpais.com___brasil_2016_05_10_politica_1462835274_205462.html.txt
36,10,-6,impeachment-dilma,elpais,577,19,13,4,483,32,42,56,brasil.elpais.com___brasil_2016_05_10_politica_1462910494_551515.html.txt
37,7,4,impeachment-dilma,elpais,146,0,4,0,132,0,7,11,brasil.elpais.com___brasil_2016_05_11_politica_1462991169_808675.html.txt
38,32,25,impeachment-dilma,elpais,778,18,43,3,650,38,70,84,brasil.elpais.com___brasil_2016_05_11_politica_1462997495_675228.html.txt
39,1,-7,impeachment-dilma,elpais,208,7,0,1,157,14,15,30,brasil.elpais.com___brasil_2016_05_12_internacional_1463053024_876025.html.txt
40,39,-19,impeachment-dilma,elpais,819,40,21,5,626,41,80,138,brasil.elpais.com___brasil_2016_05_12_politica_1463017113_667226.html.txt
41,1,11,impeachment-dilma,elpais,242,2,13,2,198,18,19,24,brasil.elpais.com___brasil_2016_05_19_politica_1463679369_944371.html.txt
42,11,-5,impeachment-dilma,elpais,377,13,8,3,312,18,29,42,brasil.elpais.com___brasil_2016_05_23_politica_1464033744_760409.html.txt
43,-1,-2,impeachment-dilma,elpais,239,6,4,3,200,15,14,23,brasil.elpais.com___brasil_2016_06_08_politica_1465401227_020297.html.txt
44,4,-9,impeachment-dilma,elpais,575,19,10,6,431,55,59,65,brasil.elpais.com___brasil_2016_06_10_politica_1465589880_428444.html.txt
45,4,9,impeachment-dilma,elpais,481,6,15,3,390,33,37,45,brasil.elpais.com___brasil_2016_06_27_politica_1467040634_118457.html.txt
46,6,-3,impeachment-dilma,elpais,142,8,5,1,122,7,13,14,brasil.elpais.com___brasil_2016_07_01_politica_1467377006_399517.html.txt
47,8,2,impeachment-dilma,elpais,164,3,5,2,119,9,17,29,brasil.elpais.com___brasil_2016_08_09_internacional_1470754391_492099.html.txt
